,used_tokens,used_resume_bullet_gen,prompted_payment,used_resume_builder,industry,career_status,job_time,resume_experience,Days
23772,7.0,1.0,1.0,1.0,0,1,0,0,27
29177,1.0,1.0,1.0,1.0,0,0,0,2,21
32896,0.0,0.0,1.0,0.0,3,0,0,0,17
30888,0.0,0.0,1.0,1.0,1,2,2,0,19
3257,0.0,1.0,0.0,0.0,0,2,0,0,108
18838,1.0,1.0,1.0,1.0,10,2,1,0,29
25416,0.0,0.0,1.0,1.0,5,1,3,2,26
25693,0.0,1.0,1.0,1.0,1,2,0,0,26
12610,0.0,0.0,1.0,1.0,3,1,1,2,56
8370,15.0,1.0,1.0,1.0,0,1,2,1,59
12814,0.0,1.0,1.0,1.0,0,1,2,0,56
24624,4.0,1.0,1.0,1.0,0,2,0,1,27
29972,2.0,1.0,1.0,0.0,4,0,1,0,20
7090,0.0,0.0,1.0,0.0,3,1,1,2,60
356,8.0,1.0,1.0,1.0,8,0,2,0,167
13070,0.0,1.0,1.0,1.0,7,2,0,1,55
26195,0.0,0.0,1.0,1.0,10,1,0,2,25
17398,0.0,0.0,1.0,1.0,0,2,2,0,41
9909,0.0,0.0,1.0,0.0,1,0,0,2,59
692,0.0,1.0,0.0,0.0,7,0,1,1,132
27929,0.0,0.0,1.0,1.0,3,0,2,0,22
31787,10.0,0.0,1.0,1.0,0,2,2,2,18
12939,0.0,0.0,1.0,1.0,1,0,3,1,55
15023,2.0,0.0,1.0,1.0,7,0,0,0,52
11028,15.0,1.0,1.0,1.0,2,0,1,2,58
15197,0.0,0.0,1.0,1.0,3,2,0,1,51
7028,0.0,0.0,1.0,1.0,1,2,1,1,60
631,0.0,1.0,0.0,0.0,0,1,0,1,133
35192,0.0,0.0,1.0,1.0,1,0,0,1,14
11910,0.0,0.0,1.0,1.0,7,1,0,2,57
18202,0.0,0.0,1.0,1.0,3,0,3,1,33
33913,0.0,1.0,1.0,1.0,2,0,0,0,15
16770,20.0,1.0,1.0,1.0,0,0,0,1,46
16039,0.0,0.0,1.0,1.0,6,0,1,0,48
34578,0.0,1.0,1.0,1.0,0,0,3,2,14
34616,0.0,1.0,1.0,1.0,1,0,1,0,14
5486,2.0,1.0,1.0,1.0,11,2,0,1,60
2450,3.0,1.0,1.0,1.0,14,0,0,1,118
34873,15.0,1.0,1.0,0.0,0,0,0,1,14
7897,0.0,0.0,1.0,0.0,0,1,0,0,60
33217,2.0,1.0,1.0,1.0,10,0,0,2,16
35978,0.0,0.0,1.0,1.0,0,0,1,1,13
33513,0.0,1.0,1.0,0.0,6,0,0,1,15
31709,0.0,0.0,1.0,1.0,1,2,1,1,18
8568,7.0,1.0,1.0,1.0,3,0,0,0,59
32028,2.0,1.0,1.0,0.0,3,1,3,2,18
26260,4.0,1.0,1.0,1.0,2,2,0,1,25
13497,0.0,0.0,1.0,1.0,0,1,1,0,53
2925,0.0,1.0,0.0,0.0,1,2,3,1,114
32382,5.0,0.0,1.0,1.0,0,2,0,0,17
11125,0.0,0.0,1.0,1.0,4,0,0,0,58
28943,9.0,1.0,1.0,1.0,1,2,0,0,21
35706,0.0,1.0,1.0,1.0,10,1,0,0,13
19738,3.0,1.0,1.0,1.0,0,1,0,3,29
15753,0.0,0.0,1.0,1.0,1,2,3,0,49
6435,0.0,0.0,1.0,1.0,0,1,0,0,60
8760,0.0,1.0,1.0,1.0,4,0,3,2,59
6040,0.0,1.0,1.0,1.0,0,2,0,0,60
31396,0.0,1.0,1.0,1.0,0,2,2,0,18
19646,0.0,0.0,1.0,1.0,10,1,1,0,29
31810,0.0,0.0,1.0,1.0,13,1,1,0,18
32340,0.0,0.0,1.0,0.0,4,0,1,0,17
28582,18.0,1.0,1.0,1.0,6,0,1,0,21
29905,0.0,1.0,1.0,0.0,4,0,0,0,20
28661,15.0,0.0,1.0,1.0,2,0,0,0,21
29781,15.0,1.0,1.0,0.0,2,0,0,1,20
14277,0.0,0.0,1.0,0.0,0,0,2,2,53
26082,19.0,1.0,1.0,1.0,1,0,0,0,25
28176,0.0,1.0,1.0,1.0,0,2,1,0,22
33498,0.0,0.0,1.0,1.0,0,0,1,2,16
32050,3.0,1.0,1.0,1.0,4,2,0,2,18
4352,2.0,1.0,1.0,0.0,1,2,0,0,74
13036,1.0,1.0,1.0,1.0,1,1,0,0,55
25036,0.0,0.0,1.0,1.0,1,0,0,0,26
3553,8.0,1.0,1.0,1.0,2,0,1,0,75
34612,1.0,0.0,1.0,1.0,0,0,1,0,14
4955,0.0,0.0,1.0,1.0,1,0,1,0,63
34794,1.0,1.0,1.0,1.0,0,0,0,1,14
10609,9.0,1.0,1.0,0.0,7,0,0,1,59
19033,1.0,1.0,1.0,1.0,0,1,3,0,29
26170,0.0,1.0,1.0,1.0,1,1,0,0,25
2658,4.0,1.0,1.0,1.0,1,2,1,1,118
8209,13.0,0.0,1.0,1.0,5,2,1,1,59
4114,2.0,1.0,1.0,0.0,0,0,0,0,74
4556,0.0,0.0,1.0,1.0,1,2,2,0,71
9929,5.0,1.0,1.0,1.0,2,0,0,2,59
25792,9.0,1.0,1.0,1.0,1,0,1,0,26
26613,1.0,1.0,1.0,1.0,10,0,0,2,24
30709,0.0,0.0,1.0,0.0,1,0,0,1,19
7351,0.0,0.0,1.0,0.0,0,0,3,0,60
22507,2.0,0.0,1.0,1.0,2,0,0,1,28
21548,2.0,0.0,1.0,1.0,1,0,1,1,28
14427,0.0,1.0,1.0,1.0,4,2,0,3,52
6303,0.0,0.0,1.0,1.0,4,1,0,0,60
14720,1.0,1.0,1.0,1.0,1,2,2,1,52
30072,3.0,1.0,1.0,1.0,0,0,0,2,20
31117,0.0,0.0,1.0,1.0,3,1,0,2,19
34348,11.0,1.0,1.0,1.0,13,0,0,1,15
13675,2.0,1.0,1.0,1.0,7,1,1,0,53
3475,0.0,1.0,1.0,1.0,0,0,0,0,82
25756,1.0,1.0,1.0,1.0,0,0,0,0,26
3166,0.0,1.0,0.0,0.0,14,0,1,0,111
31472,0.0,0.0,1.0,1.0,1,2,1,1,18
23867,6.0,1.0,1.0,1.0,3,0,0,1,27
3821,19.0,0.0,1.0,1.0,4,2,0,0,75
10530,0.0,0.0,1.0,1.0,2,0,0,0,59
4901,23.0,1.0,1.0,1.0,12,0,0,0,66
5201,0.0,1.0,1.0,1.0,0,2,1,2,60
3662,0.0,0.0,1.0,1.0,2,1,0,0,75
24216,20.0,1.0,1.0,1.0,0,0,0,0,27
12972,0.0,0.0,1.0,1.0,4,2,2,1,55
18898,0.0,1.0,1.0,1.0,6,2,0,1,29
2931,0.0,1.0,0.0,0.0,0,1,3,2,114
13000,0.0,0.0,1.0,0.0,0,0,1,1,55
34226,0.0,0.0,1.0,1.0,0,1,3,2,15
16058,0.0,1.0,1.0,1.0,1,1,2,0,48
9925,0.0,0.0,1.0,0.0,0,0,1,1,59
11933,2.0,0.0,1.0,1.0,0,0,0,0,57
2814,7.0,1.0,1.0,1.0,15,0,1,1,117
16811,0.0,0.0,1.0,0.0,1,1,0,2,46
19880,0.0,0.0,1.0,0.0,14,0,0,0,29
920,15.0,1.0,1.0,1.0,0,0,0,0,119
32218,0.0,0.0,1.0,1.0,0,2,0,1,18
14708,0.0,1.0,1.0,1.0,13,0,0,0,52
24963,0.0,0.0,1.0,1.0,0,0,2,2,26
23965,3.0,1.0,1.0,1.0,6,0,1,0,27
15866,0.0,0.0,1.0,0.0,0,0,1,0,48
27498,0.0,0.0,1.0,1.0,8,0,0,2,22
26588,2.0,0.0,1.0,1.0,0,0,0,1,24
34389,3.0,1.0,1.0,1.0,1,0,0,0,15
17984,0.0,0.0,1.0,1.0,3,0,1,0,36
25413,0.0,0.0,1.0,0.0,0,1,1,0,26
16764,0.0,0.0,1.0,1.0,1,0,0,1,46
10828,0.0,1.0,1.0,1.0,1,2,1,1,58
28695,0.0,0.0,1.0,1.0,11,0,0,1,21
10464,0.0,0.0,1.0,1.0,1,2,2,1,59
7941,0.0,0.0,1.0,0.0,1,0,2,0,60
29492,1.0,1.0,1.0,1.0,2,2,0,2,20
24904,2.0,0.0,1.0,1.0,4,0,1,1,26
29426,0.0,1.0,1.0,0.0,8,0,0,1,20
12230,6.0,1.0,1.0,1.0,0,0,0,1,57
24847,20.0,0.0,1.0,1.0,2,0,1,0,26
28502,0.0,0.0,1.0,1.0,0,1,2,2,21
21003,1.0,1.0,1.0,0.0,15,0,0,0,28
19301,0.0,0.0,1.0,0.0,7,0,1,1,29
2209,0.0,1.0,0.0,0.0,1,2,0,1,118
19793,20.0,1.0,1.0,1.0,0,1,0,1,29
26182,1.0,1.0,1.0,0.0,0,0,3,1,25
32663,1.0,1.0,1.0,1.0,4,2,2,0,17
14212,0.0,0.0,1.0,0.0,0,0,0,1,53
13106,0.0,0.0,1.0,1.0,1,2,2,0,55
25941,3.0,1.0,1.0,1.0,1,0,1,1,25
17074,0.0,0.0,1.0,1.0,0,0,1,1,43
4775,0.0,1.0,1.0,1.0,11,1,1,1,68
34072,1.0,0.0,1.0,1.0,1,0,2,1,15
6504,0.0,0.0,1.0,1.0,0,0,0,0,60
10573,0.0,0.0,1.0,1.0,15,0,1,0,59
4722,0.0,0.0,1.0,1.0,5,1,1,0,68
18073,0.0,0.0,1.0,1.0,1,0,2,0,34
26698,0.0,1.0,1.0,1.0,1,2,0,0,24
13456,0.0,1.0,1.0,1.0,0,0,0,1,53
30000,1.0,1.0,1.0,1.0,1,2,0,3,20
15585,0.0,0.0,1.0,1.0,1,2,0,0,49
22168,0.0,0.0,1.0,1.0,3,1,3,2,28
1867,0.0,1.0,1.0,0.0,1,2,2,1,119
4907,0.0,0.0,1.0,0.0,0,0,2,1,66
10340,0.0,0.0,1.0,0.0,1,2,3,1,59
31816,20.0,1.0,1.0,1.0,0,2,0,1,18
19960,4.0,1.0,1.0,1.0,13,1,3,0,29
16881,3.0,1.0,1.0,1.0,5,0,0,0,45
16968,4.0,1.0,1.0,1.0,0,0,0,0,44
32840,0.0,0.0,1.0,1.0,3,2,0,1,17
32193,0.0,0.0,1.0,1.0,0,1,0,0,18
12092,0.0,1.0,1.0,1.0,8,1,1,0,57
33456,0.0,1.0,1.0,1.0,8,0,0,0,16
27176,0.0,0.0,1.0,1.0,2,2,2,0,23
34953,0.0,0.0,1.0,1.0,0,2,0,1,14
3037,0.0,1.0,0.0,0.0,0,2,2,0,112
18648,0.0,0.0,1.0,1.0,1,0,1,1,29
20899,2.0,0.0,1.0,1.0,1,0,1,1,28
11588,0.0,1.0,1.0,1.0,2,0,1,0,57
14822,0.0,0.0,1.0,1.0,8,0,0,0,52
18761,0.0,0.0,1.0,1.0,0,0,1,2,29
25620,1.0,0.0,1.0,1.0,0,2,0,0,26
31848,0.0,1.0,1.0,1.0,0,2,1,1,18
14842,0.0,0.0,1.0,0.0,1,0,1,0,52
21428,1.0,0.0,1.0,1.0,0,0,0,0,28
30824,0.0,0.0,1.0,1.0,0,0,1,1,19
34331,1.0,1.0,1.0,1.0,1,0,1,0,15
32892,0.0,0.0,1.0,1.0,14,0,0,0,17
15396,1.0,1.0,1.0,1.0,3,0,1,2,50
9981,0.0,0.0,1.0,0.0,2,0,0,0,59
9244,0.0,0.0,1.0,1.0,0,0,1,1,59
24132,5.0,1.0,1.0,1.0,7,0,0,1,27
7743,2.0,1.0,1.0,1.0,0,1,2,2,60
2710,0.0,1.0,0.0,0.0,0,0,0,0,117
6722,0.0,1.0,1.0,1.0,5,0,0,0,60
32386,0.0,0.0,1.0,1.0,1,0,1,2,17
32041,4.0,1.0,1.0,0.0,7,0,0,1,18
6998,0.0,1.0,1.0,0.0,5,0,2,1,60
25051,0.0,0.0,1.0,1.0,0,2,0,0,26
562,0.0,1.0,1.0,1.0,1,0,2,0,133
8225,0.0,0.0,1.0,1.0,0,0,0,0,59
24395,5.0,0.0,1.0,1.0,4,1,0,2,27
21776,0.0,0.0,1.0,0.0,1,0,3,0,28
13915,1.0,1.0,1.0,1.0,0,0,1,2,53
33683,0.0,1.0,1.0,1.0,0,0,0,0,15
35249,0.0,0.0,1.0,1.0,1,0,1,1,14
11898,0.0,0.0,1.0,1.0,0,0,0,0,57
511,0.0,1.0,0.0,0.0,0,0,0,1,133
19400,3.0,1.0,1.0,1.0,4,0,0,0,29
28720,10.0,1.0,1.0,1.0,4,0,2,1,21
4508,0.0,1.0,1.0,1.0,12,0,1,0,72
12226,0.0,0.0,1.0,1.0,2,0,1,2,57
12009,0.0,1.0,1.0,1.0,0,0,0,0,57
3830,0.0,1.0,1.0,1.0,2,1,1,0,75
18461,9.0,0.0,1.0,1.0,0,2,0,1,29
526,1.0,1.0,1.0,1.0,0,0,0,0,133
14255,0.0,0.0,1.0,0.0,6,1,3,0,53
19181,0.0,1.0,1.0,0.0,0,0,0,0,29
4273,0.0,0.0,1.0,1.0,0,0,0,2,74
18561,15.0,1.0,1.0,1.0,7,1,0,0,29
19159,0.0,0.0,1.0,1.0,0,2,1,1,29
16041,3.0,1.0,1.0,1.0,5,0,0,1,48
30862,12.0,1.0,1.0,1.0,7,1,1,2,19
17097,1.0,0.0,1.0,1.0,13,0,0,2,43
20904,0.0,1.0,1.0,1.0,1,0,3,2,28
18004,0.0,1.0,1.0,1.0,0,2,1,1,35
7958,0.0,0.0,1.0,1.0,1,1,0,0,60
34722,2.0,1.0,1.0,1.0,0,0,1,1,14
23330,0.0,1.0,1.0,1.0,5,0,0,0,27
8313,8.0,0.0,1.0,1.0,1,2,1,1,59
31742,0.0,0.0,1.0,0.0,0,2,3,0,18
5505,0.0,1.0,1.0,1.0,0,1,0,0,60
30042,2.0,1.0,1.0,1.0,1,1,0,0,20
15450,0.0,0.0,1.0,0.0,1,1,0,0,50
22861,1.0,1.0,1.0,1.0,0,2,1,1,28
20329,0.0,0.0,1.0,1.0,4,0,0,2,29
33165,4.0,1.0,1.0,1.0,0,2,0,0,16
1323,0.0,0.0,0.0,0.0,8,0,1,0,119
30854,4.0,0.0,1.0,1.0,1,1,1,2,19
21885,0.0,0.0,1.0,1.0,4,0,0,0,28
6791,0.0,0.0,1.0,1.0,7,1,3,0,60
19787,16.0,1.0,1.0,1.0,0,0,1,2,29
35454,4.0,1.0,1.0,1.0,0,0,0,1,14
14930,0.0,0.0,1.0,0.0,3,2,0,0,52
1895,0.0,1.0,0.0,0.0,1,2,2,2,118
27007,0.0,1.0,1.0,1.0,1,0,0,0,23
19862,2.0,1.0,1.0,1.0,0,0,0,1,29
34489,0.0,1.0,1.0,1.0,2,0,0,0,14
19846,3.0,0.0,1.0,1.0,5,0,3,0,29
23219,0.0,0.0,1.0,1.0,2,0,0,0,28
13845,12.0,0.0,1.0,1.0,5,0,0,0,53
2452,0.0,1.0,0.0,0.0,1,0,0,2,118
18850,0.0,0.0,1.0,0.0,3,2,2,0,29
4316,0.0,1.0,1.0,1.0,5,1,0,0,74
9414,0.0,0.0,1.0,1.0,1,0,3,0,59
11566,25.0,1.0,1.0,1.0,1,0,2,0,57
12687,0.0,0.0,1.0,1.0,0,0,0,0,56
26554,0.0,1.0,1.0,1.0,15,1,1,2,24
4178,0.0,1.0,1.0,1.0,4,0,2,0,74
10260,0.0,0.0,1.0,1.0,11,1,0,2,59
9013,0.0,0.0,1.0,0.0,1,1,1,0,59
26585,1.0,0.0,1.0,1.0,12,0,0,0,24
9602,1.0,1.0,1.0,1.0,1,0,0,0,59
27791,4.0,0.0,1.0,1.0,4,0,0,0,22
6713,0.0,0.0,1.0,1.0,0,0,1,0,60
15044,0.0,0.0,1.0,1.0,8,0,0,2,51
9674,0.0,0.0,1.0,1.0,4,0,1,1,59
7674,2.0,1.0,1.0,1.0,4,0,0,0,60
13968,0.0,1.0,1.0,1.0,0,2,2,0,53
18675,0.0,0.0,1.0,1.0,0,0,0,0,29
23424,8.0,1.0,1.0,1.0,2,2,0,1,27
20625,11.0,0.0,1.0,1.0,8,0,1,1,28
28435,20.0,1.0,1.0,1.0,0,0,0,1,21
24995,0.0,0.0,1.0,1.0,0,2,0,0,26
16794,0.0,0.0,1.0,1.0,0,1,1,2,46
34938,2.0,1.0,1.0,0.0,2,0,1,2,14
34170,1.0,1.0,1.0,1.0,0,0,2,1,15
5019,0.0,0.0,1.0,0.0,13,0,0,1,60
17181,0.0,1.0,1.0,1.0,8,0,1,0,42
9033,23.0,1.0,1.0,1.0,11,0,0,2,59
14556,0.0,0.0,1.0,1.0,0,0,0,0,52
20920,0.0,1.0,1.0,1.0,0,2,1,1,28
23359,2.0,1.0,1.0,1.0,5,0,0,2,27
7125,0.0,0.0,1.0,1.0,0,0,0,0,60
34068,0.0,0.0,1.0,1.0,0,0,1,2,15
22675,2.0,1.0,1.0,1.0,0,0,0,0,28
12345,20.0,1.0,1.0,1.0,0,0,0,0,56
29670,6.0,1.0,1.0,1.0,1,0,0,1,20
19213,15.0,1.0,1.0,1.0,2,0,0,0,29
18934,0.0,0.0,1.0,1.0,1,0,1,0,29
22657,0.0,0.0,1.0,1.0,4,1,0,2,28
36052,0.0,0.0,1.0,1.0,0,2,3,1,13
24243,15.0,1.0,1.0,1.0,0,0,0,0,27
9098,5.0,1.0,1.0,1.0,1,0,1,2,59
22230,3.0,1.0,1.0,1.0,1,0,2,0,28
28426,4.0,0.0,1.0,1.0,2,0,0,0,21
16749,20.0,1.0,1.0,1.0,3,0,0,1,46
31579,11.0,1.0,1.0,1.0,10,0,2,1,18
33266,0.0,0.0,1.0,1.0,5,1,1,0,16
17933,1.0,1.0,1.0,1.0,0,1,0,0,36
22231,20.0,1.0,1.0,1.0,0,0,0,1,28
590,0.0,0.0,0.0,0.0,1,0,0,1,133
33518,6.0,1.0,1.0,1.0,6,0,1,1,15
32530,0.0,1.0,1.0,1.0,0,0,0,0,17
28214,4.0,0.0,1.0,1.0,3,1,0,3,22
14493,3.0,1.0,1.0,1.0,13,1,3,2,52
15058,1.0,1.0,1.0,1.0,1,2,1,2,51
13808,0.0,0.0,1.0,1.0,0,1,0,2,53
12102,9.0,1.0,1.0,1.0,0,2,0,0,57
35237,0.0,0.0,1.0,1.0,15,0,1,0,14
29502,0.0,1.0,1.0,1.0,0,2,3,1,20
21962,1.0,1.0,1.0,1.0,2,1,2,2,28
31700,4.0,1.0,1.0,1.0,3,0,2,1,18
19814,0.0,1.0,1.0,1.0,0,0,0,0,29
13678,0.0,0.0,1.0,1.0,0,0,1,2,53
13518,0.0,0.0,1.0,0.0,7,0,0,0,53
27281,5.0,1.0,1.0,1.0,3,2,0,0,23
33453,12.0,1.0,1.0,1.0,4,0,1,1,16
33463,0.0,1.0,1.0,1.0,1,2,0,0,16
15195,0.0,1.0,1.0,1.0,1,0,1,0,51
11018,0.0,0.0,1.0,0.0,2,0,0,1,58
35645,0.0,0.0,1.0,1.0,12,0,1,0,13
6609,0.0,0.0,1.0,0.0,1,0,3,0,60
7387,1.0,1.0,1.0,1.0,0,0,0,0,60
6154,0.0,0.0,1.0,0.0,1,0,1,2,60
20521,0.0,0.0,1.0,0.0,0,1,2,0,28
25305,3.0,1.0,1.0,0.0,12,0,0,0,26
4164,4.0,1.0,1.0,1.0,4,0,0,0,74
5291,0.0,0.0,1.0,1.0,1,0,1,1,60
34393,1.0,1.0,1.0,1.0,0,1,1,0,15
493,0.0,1.0,0.0,0.0,0,0,0,0,138
21009,0.0,1.0,1.0,1.0,1,2,1,0,28
9764,25.0,1.0,1.0,1.0,14,0,0,0,59
21656,1.0,1.0,1.0,1.0,0,0,2,1,28
33653,1.0,1.0,1.0,1.0,0,2,1,1,15
4959,0.0,0.0,1.0,0.0,0,1,0,0,63
25552,0.0,1.0,1.0,1.0,0,0,1,0,26
17896,1.0,1.0,1.0,0.0,0,0,2,0,37
12602,1.0,1.0,1.0,1.0,0,0,0,0,56
32996,0.0,0.0,1.0,1.0,1,0,0,0,16
33556,5.0,1.0,1.0,1.0,1,2,0,1,15
12902,0.0,0.0,1.0,0.0,0,0,0,0,55
34655,0.0,1.0,1.0,1.0,0,2,3,1,14
31339,0.0,0.0,1.0,1.0,1,0,0,1,19
19961,9.0,1.0,1.0,1.0,5,0,0,0,29
16198,2.0,1.0,1.0,1.0,4,0,1,1,47
6230,0.0,0.0,1.0,0.0,2,0,0,2,60
7688,2.0,1.0,1.0,1.0,0,0,3,1,60
11661,3.0,0.0,1.0,1.0,8,2,0,1,57
1583,0.0,1.0,0.0,0.0,2,0,2,1,119
2265,2.0,1.0,1.0,0.0,0,0,1,0,118
4077,0.0,1.0,1.0,1.0,4,2,2,0,74
32137,0.0,1.0,1.0,1.0,0,1,1,1,18
27002,8.0,1.0,1.0,0.0,2,1,0,2,23
32927,0.0,0.0,1.0,1.0,3,2,0,1,16
17310,3.0,1.0,1.0,1.0,1,0,0,2,41
20744,0.0,0.0,1.0,1.0,1,1,1,3,28
17859,15.0,1.0,1.0,1.0,0,0,0,0,37
28949,1.0,1.0,1.0,1.0,1,0,1,1,21
20593,1.0,0.0,1.0,1.0,1,2,1,1,28
20091,0.0,1.0,1.0,1.0,4,0,0,1,29
15916,1.0,1.0,1.0,1.0,1,0,1,1,48
18795,0.0,0.0,1.0,1.0,8,1,0,1,29
13060,0.0,1.0,1.0,1.0,2,1,1,0,55
26109,4.0,1.0,1.0,1.0,0,0,0,0,25
10500,0.0,1.0,1.0,1.0,0,1,1,0,59
18370,20.0,1.0,1.0,1.0,0,1,0,2,31
931,0.0,1.0,0.0,0.0,5,2,1,0,119
33204,0.0,1.0,1.0,1.0,1,2,1,0,16
11487,0.0,0.0,1.0,1.0,1,2,0,1,57
30020,1.0,1.0,1.0,1.0,0,2,2,0,20
25875,20.0,1.0,1.0,0.0,0,1,0,0,25
19347,6.0,1.0,1.0,1.0,14,2,0,2,29
25879,0.0,1.0,1.0,1.0,1,2,0,1,25
10474,5.0,1.0,1.0,0.0,4,0,0,0,59
25854,1.0,1.0,1.0,1.0,0,1,0,0,25
12605,10.0,1.0,1.0,1.0,5,1,0,2,56
10997,5.0,1.0,1.0,1.0,1,0,1,0,58
23466,16.0,1.0,1.0,1.0,3,2,2,0,27
15930,13.0,1.0,1.0,0.0,8,0,1,1,48
6245,0.0,0.0,1.0,1.0,14,1,1,2,60
7993,0.0,0.0,1.0,1.0,0,0,1,0,60
15785,1.0,1.0,1.0,1.0,2,1,0,2,48
26990,0.0,0.0,1.0,1.0,0,2,3,0,23
1133,0.0,1.0,0.0,0.0,4,0,3,2,119
35521,2.0,1.0,1.0,1.0,14,0,0,2,13
19357,6.0,1.0,1.0,1.0,1,2,0,1,29
31717,10.0,1.0,1.0,0.0,0,0,0,0,18
30728,0.0,0.0,1.0,1.0,2,0,0,1,19
24780,7.0,1.0,1.0,0.0,0,1,1,2,27
30406,3.0,0.0,1.0,1.0,1,1,3,2,19
32898,0.0,0.0,1.0,1.0,3,0,1,0,17
2407,0.0,1.0,0.0,0.0,12,2,2,1,118
4576,0.0,1.0,1.0,1.0,1,0,1,0,71
7336,2.0,1.0,1.0,1.0,1,0,2,0,60
15383,0.0,0.0,1.0,0.0,0,1,0,1,50
12513,0.0,0.0,1.0,1.0,0,0,1,1,56
12041,3.0,1.0,1.0,1.0,15,1,1,0,57
2200,0.0,0.0,0.0,0.0,0,1,1,0,118
10203,20.0,1.0,1.0,1.0,0,0,1,1,59
2890,0.0,1.0,0.0,0.0,1,2,0,0,115
12461,0.0,0.0,1.0,1.0,10,0,1,2,56
10381,0.0,1.0,1.0,1.0,8,2,2,0,59
26378,0.0,0.0,1.0,1.0,1,0,0,1,25
21557,1.0,1.0,1.0,1.0,12,0,0,1,28
31257,0.0,0.0,1.0,1.0,5,1,0,0,19
17842,2.0,1.0,1.0,1.0,0,0,2,1,38
3635,0.0,1.0,1.0,1.0,12,0,0,0,75
6671,0.0,0.0,1.0,1.0,1,2,1,1,60
1341,0.0,1.0,0.0,0.0,13,1,0,1,119
34691,0.0,1.0,1.0,1.0,0,0,1,0,14
35771,14.0,0.0,1.0,1.0,0,0,0,0,13
30834,0.0,0.0,1.0,1.0,0,2,3,1,19
1907,0.0,1.0,0.0,0.0,0,0,0,1,118
19662,0.0,0.0,1.0,1.0,3,0,2,2,29
27590,0.0,0.0,1.0,1.0,1,2,1,0,22
33230,2.0,1.0,1.0,1.0,4,1,0,0,16
15016,0.0,0.0,1.0,0.0,0,2,3,0,52
15049,0.0,1.0,1.0,1.0,1,0,2,0,51
12867,0.0,1.0,1.0,1.0,8,0,0,1,55
26319,0.0,1.0,1.0,1.0,0,0,1,0,25
27035,0.0,1.0,1.0,1.0,12,2,0,1,23
28515,1.0,1.0,1.0,1.0,0,2,0,0,21
20903,0.0,0.0,1.0,1.0,1,2,1,1,28
19258,17.0,1.0,1.0,1.0,1,1,0,0,29
28084,0.0,0.0,1.0,1.0,5,0,0,0,22
1294,0.0,0.0,1.0,1.0,13,1,2,0,119
20307,1.0,1.0,1.0,1.0,1,0,2,0,29
15121,0.0,1.0,1.0,1.0,6,2,0,0,51
34874,3.0,0.0,1.0,1.0,0,0,2,2,14
14416,0.0,0.0,1.0,0.0,7,2,0,1,52
31422,13.0,1.0,1.0,1.0,0,0,0,0,18
